потому	deshalb, daher, weil	Зимой медведи обычно спят, {потому} что погода слишком холодная и нет еды.		Adverb	98	Russian	59315	Adverb
adj	*	лучшие ({adj}, pl) [lútschschije]			98	Russian	59316	
Instrumental	*				98	Russian	59317	
Ником	Nick	В школе над {Ником} смеялись, и однажды он решил покончить с собой.			98	Russian	59318	
Машу	Mascha	Но {Машу} ничего не волновало - скоро она будет смотреть на небо.			98	Russian	59319	
willst	*				98	Russian	59320	
тому	*	Однако в последующих версиях тег Deathmatch был убран, так как игра позволяла передвигаться пешком и ездить на транспорте, к {тому} же для реализации режимов было добавлено скриптинговое API с использованием языка Lua.			98	Russian	59321	
Computer'	*				98	Russian	59322	
супермаркет	Supermarkt	крупный {супермаркет}			98	Russian	59323	
GTA	*	История {GTA}3AM и MTA:VC ¶			98	Russian	59324	
ига	Yoke (Mongolischer Anführer)	В 1480 году Руси удалось окончательно освободиться от монголо-татарского {ига}, которое длилось 240 лет.			98	Russian	59325	
AM	*	История GTA3{AM} и MTA:VC ¶			98	Russian	59326	
Смутное время	Zeit der Wirren (historischer Abschnitt)	После правления Ивана Грозного, не оставившего достойных наследников, наступает {Смутное время} в России.			98	Russian	59327	
be	*				98	Russian	59328	
nad	*	новый проект ➜ над новым проектом [{nad} nówym prajéktam]			98	Russian	59329	
лицам	*				98	Russian	59330	
Бонапартом	Bonaparte	Одной из них стала победа над Наполеоном {Бонапартом} в 1812 году.			98	Russian	59331	
com	*				98	Russian	59332	
youtu	*				98	Russian	59333	
Plural	*				98	Russian	59334	
Святославича	Sviatoslavich	Принятие христианства на Руси связано с правлением Владимира {Святославича}, который выбрал его из существующих в то время религий.			98	Russian	59335	
Волгу	Wolga	Например, {Волгу}, Обь, Иртыш, Енисей, Амур и многие другие.			98	Russian	59336	
https	*				98	Russian	59337	
собою	selbst	Кстати, он был замечательно хорош {собою}, с прекрасными темными глазами, темно-рус, ростом выше среднего, тонок и строен.			98	Russian	59947	
пресной	*				98	Russian	59338	
Иртыш	Irtysch	Например, Волгу, Обь, {Иртыш}, Енисей, Амур и многие другие.			98	Russian	59339	
sánityj	*	passiv, m) [{sánityj}]			98	Russian	59340	
sagen	*				98	Russian	59341	
Podcast	*				98	Russian	59342	
Нева	Newa	Также его заслугой является строительство великолепного Санкт-Петербурга, расположенного на реке {Нева}, а также многих других городов.			98	Russian	59343	
Никиты	Nikita	Всему миру известны имена лидеров Советского Союза Владимира Ленина, Иосифа Сталина, {Никиты} Хрущева, Леонида Брежнева.			98	Russian	59344	
Чита	Tschita	Ярославль, Екатеринбург, Омск, Иркутск, {Чита} среди них.			98	Russian	59345	
чтоб	*				98	Russian	55237	
zusammen	*	Ich denke, ihr habt {zusammen} Abendbrot gegessen.			98	Russian	59346	
Abend	*				98	Russian	59347	
режима	*	Версия 0.5 предлагает два {режима} игры для GTA Vice City:			98	Russian	59348	
du	*				98	Russian	59349	
пожаловать	*				98	Russian	59350	
man	*				98	Russian	59351	
Andreas	*	San {Andreas}, которая позволяет игрокам со всего мира играть друг с другом в режиме онлайн.			98	Russian	59352	
ю	*	С замиранием сердца и нервною дрожью подошел он к преогромнейшему дому, выходившему одною стеной на канаву, а другою в — {ю} улицу.			98	Russian	60130	
GPLv	*				98	Russian	59353	
Playing	*				98	Russian	59354	
Анапа	Anapa	Сочи, {Анапа}, Геленджик наиболее популярны.			98	Russian	59355	
режиме	*	San Andreas, которая позволяет игрокам со всего мира играть друг с другом в {режиме} онлайн.			98	Russian	59356	
где	*				98	Russian	59357	
sagst	*				98	Russian	59358	
DLL	*	Blue загружает {DLL} вместе с игрой вместо инъектирования кода в память процесса.			98	Russian	59359	
Амур	Amor	Например, Волгу, Обь, Иртыш, Енисей, {Амур} и многие другие.			98	Russian	59360	
gegessen	*	Ich denke, ihr habt zusammen Abendbrot {gegessen}.			98	Russian	59361	
Елена	Elena	– Твоя подруга {Елена} пришла.			98	Russian	59362	
же	bloß, ja, aber	Это дни, когда ночью на улице почти так {же} светло, как днём.			98	Russian	59363	
Новосибирск-Главный	Novosibirsk-Glavny	Он посвящен труду строителей и завершению работ над Кругобайкальской железной дорогой.Другим интересным местом является вокзал на станции {Новосибирск-Главный}.			98	Russian	59364	
tasteofrussian	*				98	Russian	59365	
Сталинский	'stalinkas'	В {Сталинский} период акцент делался на качестве и долговечности квартиры.			98	Russian	59366	
